5.97689667 1.36465634  0.950
-0.99254709 0.38243331  0.950
5.52917185 1.38604708  0.950
5.24724193 1.06851499  0.950
0.52775082 1.37915031  0.950
0.80693160 1.48266917  0.950
-1.43927906 -0.23186287  0.950
-5.22140753 1.07618706  0.950
1.84329419 0.36409638  0.950
3.77809470 0.52374062  0.950
2.66635138 0.70926903  0.950
-4.59832398 -0.50019651  0.950
-5.17482521 -0.80228248  0.950
-5.16687102 0.95829312  0.950
-3.39363192 1.17525512  0.950
-5.12364835 -0.24493848  0.950
-4.52472445 0.82388792  0.950
-1.82246888 1.14953477  0.950
-5.72556387 -0.03054773  0.950
1.47901830 1.19875762  0.950
2.99981994 -0.79985866  0.950
-1.09671759 -0.33280302  0.950
0.66051030 0.89042622  0.950
3.01036050 -0.39073631  0.950
0.16076890 0.34718759  0.950
3.79063838 0.66565014  0.950
0.94848699 1.15955348  0.950
-4.09518760 0.44328794  0.950
-3.85509369 0.37826534  0.950
-1.01026036 0.76385343  0.950
-0.63345380 0.81194474  0.950
-5.24556911 1.23399591  0.950
3.56435416 -0.34770625  0.950
-0.24475355 0.45403340  0.950
-1.80424569 1.11784426  0.950
-1.51166707 -0.13572275  0.950
0.00723234 0.94385102  0.950
-2.03767158 0.39025206  0.950
-5.36209792 -0.66677102  0.950
-4.40023739 -0.01160421  0.950
-1.00722405 -0.38654570  0.950
0.20007935 0.93632370  0.950
3.25854484 -0.68112015  0.950
5.01973033 1.23989742  0.950
-0.35975423 1.36467714  0.950
3.76779889 0.93493329  0.950
3.08132949 0.56661669  0.950
1.67950605 1.41460013  0.950
-5.83423218 -0.19029799  0.950
-0.85105653 0.37112179  0.950
