4.57774797 -1.29244550  0.050
-2.00424903 -1.00583725  0.050
5.09075226 0.76000110  0.050
-2.34399277 -0.07548281  0.050
4.77720955 -0.06765412  0.050
-3.62694785 -0.07886422  0.050
1.14558145 -1.19790172  0.050
1.29518572 -0.82509467  0.050
4.61558039 0.19543086  0.050
2.07106632 -1.24354087  0.050
3.78441690 -1.06003398  0.050
0.72228740 -0.43587987  0.050
-2.89632573 -1.30303791  0.050
-0.69776753 -1.11610938  0.050
4.02908818 -0.55282210  0.050
0.55344395 -1.13140380  0.050
-2.23502269 -1.33592329  0.050
-2.06718222 -0.67075645  0.050
1.69041516 -1.13153635  0.050
-2.23182483 -0.46626055  0.050
-2.58697400 -1.07885212  0.050
4.50585486 -0.91667401  0.050
1.75903454 -0.53664740  0.050
0.04389495 -0.36342865  0.050
3.89094312 -0.56801415  0.050
-5.97473552 -1.27584509  0.050
4.79024213 -0.39494082  0.050
-1.92411316 -1.48627019  0.050
-3.36800348 -1.25330952  0.050
1.18408043 0.73732024  0.050
3.82190451 -1.12862412  0.050
-3.61108238 0.03102866  0.050
-5.46899395 -0.93791947  0.050
0.42233711 -0.76857330  0.050
1.37139574 0.21398523  0.050
4.92008193 -0.37812719  0.050
1.48199781 -1.24922503  0.050
0.50849510 0.61224867  0.050
-5.17200297 -1.37787720  0.050
-2.05344150 -0.62231774  0.050
5.10175855 -0.50750720  0.050
1.88564558 -0.68669364  0.050
1.79491634 -1.11505661  0.050
5.56297202 -0.35851267  0.050
-5.12014525 -1.44140802  0.050
-0.10485236 -0.95027920  0.050
-2.92566764 -0.80731646  0.050
-0.68709620 -1.26908649  0.050
-3.45748948 0.72665752  0.050
0.86031493 -1.25787518  0.050
